Time,Position Axis 1,Load Axis 1,Command Axis 1,Aux 0,Aux 1,Aux 2,Cycles
4.4000000000,56.6864814758,0.4542801381,56.6959342956,-0.0883261114,-0.0018462020,-0.0023074858,0.0000000000
4.4500000000,56.6558151245,0.4166771173,56.6459388733,-0.0894622430,0.0020414903,0.0042456384,0.0000000000
4.5000000000,56.5908508301,0.4391094149,56.5959434509,-0.0899093524,-0.0015908778,-0.0023840924,0.0000000000
4.5500000000,56.5417099001,0.4173953232,56.5459442139,-0.0905249268,0.0018271058,0.0043911049,0.0000000000
4.6000000000,56.5013313293,0.4165254832,56.4959487915,-0.0909095034,-0.0016617823,-0.0023001782,0.0000000000
4.6500000000,56.4395332338,0.4425951837,56.4459533691,-0.0921128094,0.0017154221,0.0048561720,0.0000000000
4.7000000000,56.4029426573,0.4326953887,56.3959579468,-0.0922904983,-0.0020057200,-0.0025323012,0.0000000000
4.7500000000,56.3401641847,0.4242434503,56.3459625244,-0.0935417488,0.0021337343,0.0044405297,0.0000000000
4.8000000000,56.3023948669,0.4165753424,56.2959632873,-0.0937570408,-0.0017464588,-0.0025833137,0.0000000000
4.8500000000,56.2405433655,0.4074723723,56.2459678650,-0.0953541845,0.0020602723,0.0047752289,0.0000000000
4.9000000000,56.2102890014,0.4117815793,56.1959724426,-0.0954862684,-0.0015337351,-0.0027481166,0.0000000000
4.9500000000,56.1384963989,0.4154845776,56.1459732056,-0.0963008180,0.0015536813,0.0046229716,0.0000000000
5.0000000000,56.0958023072,0.4535440801,56.0959777832,-0.0967551321,-0.0019010919,-0.0031996267,0.0000000000
5.0500000000,56.0456581113,0.4202497305,56.0459823608,-0.0975626558,0.0021550062,0.0046384558,0.0000000000
5.1000000000,55.9986801148,0.4340147376,55.9959869385,-0.0986342803,-0.0021543573,-0.0029954098,0.0000000000
5.1500000000,55.9552154539,0.4112550319,55.9459915161,-0.0990384221,0.0018863226,0.0049915714,0.0000000000
5.2000000000,55.8850784303,0.4131230116,55.8959922790,-0.0991549417,-0.0022475733,-0.0029634354,0.0000000000
5.2500000000,55.8596725461,0.3908807634,55.8459968567,-0.0996552631,0.0024582662,0.0048936536,0.0000000000
5.3000000000,55.7847061158,0.3683393896,55.7960014343,-0.1007203162,-0.0016997188,-0.0030728474,0.0000000000
5.3500000000,55.7545013427,0.4274384975,55.7460021973,-0.1017676443,0.0024993971,0.0049755913,0.0000000000
5.4000000000,55.6951789856,0.3887857497,55.6960067749,-0.1020606309,-0.0018431360,-0.0027753697,0.0000000000
5.4500000000,55.6513366699,0.4101797639,55.6460113525,-0.1031458825,0.0028012877,0.0048975339,0.0000000000
5.5000000000,55.5890350342,0.4433089793,55.5960159302,-0.1042884812,-0.0018910210,-0.0033065081,0.0000000000
5.5500000000,55.5527114869,0.3784763516,55.5460205078,-0.1046545133,0.0025805959,0.0052000373,0.0000000000
5.6000000000,55.4990844726,0.4180412888,55.4960212707,-0.1052322388,-0.0023771203,-0.0029551946,0.0000000000
5.6500000000,55.4409294131,0.3796972339,55.4460258484,-0.1060174480,0.0020619831,0.0048077926,0.0000000000
5.7000000000,55.3982772826,0.4153366088,55.3960304260,-0.1062879786,-0.0021222278,-0.0027957291,0.0000000000
5.7500000000,55.3300399782,0.3932081759,55.3460311890,-0.1071240008,0.0025111726,0.0050546047,0.0000000000
5.8000000000,55.2985191345,0.4004043639,55.2960357666,-0.1082389206,-0.0023483795,-0.0033071309,0.0000000000
5.8500000000,55.2368583680,0.3905082344,55.2460403442,-0.1088935137,0.0026938000,0.0051966570,0.0000000000
5.9000000000,55.2070312500,0.4082751871,55.1960449219,-0.1094325930,-0.0019600289,-0.0031945622,0.0000000000
5.9500000000,55.1304893493,0.3718982935,55.1460494995,-0.1097064093,0.0025434790,0.0054419483,0.0000000000
6.0000000000,55.0935668946,0.3846013248,55.0960502624,-0.1105992720,-0.0017977789,-0.0029898989,0.0000000000
6.0500000000,55.0422134398,0.4081749319,55.0460548401,-0.1114472896,0.0022239883,0.0053788903,0.0000000000
6.1000000000,54.9863128663,0.3470544815,54.9960594177,-0.1123428047,-0.0018207426,-0.0030882338,0.0000000000
6.1500000000,54.9521179197,0.4133389591,54.9460601806,-0.1140371188,0.0023618941,0.0053828512,0.0000000000
6.2000000000,54.8806228639,0.4126350282,54.8960647583,-0.1152992025,-0.0019819229,-0.0032302646,0.0000000000
6.2500000000,54.8540992734,0.3782386785,54.8460693359,-0.1164433584,0.0028667881,0.0054494678,0.0000000000
6.3000000000,54.7897567749,0.3810904920,54.7960739136,-0.1180020124,-0.0024358395,-0.0031179930,0.0000000000
6.3500000000,54.7508850097,0.3663514257,54.7460784912,-0.1201469228,0.0026018899,0.0052271774,0.0000000000
6.4000000000,54.6920013427,0.3746661543,54.6960792541,-0.1209271401,-0.0024009342,-0.0033088424,0.0000000000
6.4500000000,54.6418609622,0.3285297159,54.6460838318,-0.1227670088,0.0024911908,0.0054951129,0.0000000000
6.5000000000,54.5964241027,0.3760609030,54.5960884094,-0.1243894547,-0.0018319896,-0.0035739543,0.0000000000
6.5500000000,54.5380210879,0.3571712967,54.5460891723,-0.1263158768,0.0026258642,0.0054689734,0.0000000000
6.6000000000,54.4975013732,0.3572261334,54.4960937500,-0.1272674799,-0.0019468383,-0.0032066319,0.0000000000
6.6500000000,54.4347496034,0.3467655776,54.4460983276,-0.1293678433,0.0023406462,0.0051030531,0.0000000000
6.7000000000,54.4103469848,0.3456465900,54.3961029053,-0.1307474524,-0.0021947033,-0.0030691652,0.0000000000
6.7500000000,54.3390045166,0.3427115380,54.3461074829,-0.1322357953,0.0025904507,0.0055887317,0.0000000000
6.8000000000,54.3113479614,0.3325798810,54.2961082458,-0.1336626261,-0.0019011337,-0.0029704992,0.0000000000
6.8500000000,54.2428512572,0.3619991541,54.2461128235,-0.1357779652,0.0026174679,0.0055788676,0.0000000000
6.9000000000,54.1930427552,0.3517991602,54.1961174011,-0.1374117136,-0.0022237294,-0.0033423600,0.0000000000
6.9500000000,54.1450195310,0.3334149124,54.1461181640,-0.1395696998,0.0021175551,0.0054980190,0.0000000000
7.0000000000,54.0827865601,0.3257023989,54.0961227417,-0.1411197633,-0.0023589884,-0.0032722217,0.0000000000
7.0500000000,54.0540275571,0.3142983616,54.0461273193,-0.1421650350,0.0029113674,0.0054232054,0.0000000000
7.1000000000,53.9759902955,0.3520980178,53.9961318970,-0.1444243789,-0.0022088012,-0.0032466527,0.0000000000
7.1500000000,53.9489555357,0.3031065465,53.9461364746,-0.1452165395,0.0026638422,0.0053790794,0.0000000000
7.2000000000,53.8859825134,0.3335504830,53.8961372375,-0.1474721730,-0.0019555208,-0.0030398145,0.0000000000
7.2500000000,53.8474884033,0.3051677941,53.8461418152,-0.1488453448,0.0027413792,0.0052188816,0.0000000000
7.3000000000,53.8037605286,0.3672713935,53.7961463928,-0.1503924727,-0.0021044980,-0.0032141272,0.0000000000
7.3500000000,53.7462997437,0.3188034587,53.7461471557,-0.1519403011,0.0025417979,0.0052878503,0.0000000000
7.4000000000,53.6876220703,0.2998403908,53.6961517334,-0.1538826078,-0.0021895634,-0.0035460219,0.0000000000
7.4500000000,53.6353378298,0.3055939371,53.6461563110,-0.1552121341,0.0028946416,0.0052969861,0.0000000000
7.5000000000,53.5981254577,0.2797866166,53.5961608887,-0.1574067324,-0.0021281831,-0.0031366807,0.0000000000
7.5500000000,53.5268592837,0.2855898143,53.5461654663,-0.1592837721,0.0025821514,0.0053528757,0.0000000000
7.6000000000,53.5026473999,0.2780869007,53.4961662292,-0.1608216316,-0.0021400035,-0.0033036969,0.0000000000
7.6500000000,53.4325332642,0.2840243581,53.4461708069,-0.1634231955,0.0027757001,0.0051531396,0.0000000000
7.7000000000,53.4027214050,0.2901137470,53.3961753845,-0.1651239097,-0.0018444419,-0.0030135179,0.0000000000
7.7500000000,53.3342208862,0.2952880263,53.3461761474,-0.1675516963,0.0026863031,0.0053431988,0.0000000000
7.8000000000,53.3187408447,0.2847451269,53.2961807251,-0.1696188897,-0.0022338580,-0.0032721825,0.0000000000
7.8500000000,53.2430534361,0.2414462567,53.2461853027,-0.1725898981,0.0022742345,0.0052739559,0.0000000000
7.9000000000,53.1879844666,0.2500595450,53.1961898804,-0.1749667525,-0.0023172977,-0.0030908906,0.0000000000
7.9500000000,53.1545982359,0.2593960166,53.1461944580,-0.1772384942,0.0026250260,0.0052840253,0.0000000000
8.0000000000,53.0821914674,0.2775063215,53.0961952209,-0.1798049808,-0.0017751972,-0.0029852476,0.0000000000
8.0500000000,53.0526466367,0.2546655830,53.0461883545,-0.1806670427,0.0026085377,0.0054523740,0.0000000000
8.1000000000,52.9900169373,0.2614708243,52.9961662292,-0.1830645204,-0.0020921305,-0.0032182259,0.0000000000
8.1500000000,52.9508743285,0.2478903381,52.9461479187,-0.1862146705,0.0023199113,0.0048876176,0.0000000000
8.2000000000,52.8902015686,0.2260683923,52.8961257934,-0.1870535165,-0.0017636928,-0.0031407217,0.0000000000
8.2500000000,52.8500328065,0.2500090300,52.8461074829,-0.1894695014,0.0027635684,0.0047962428,0.0000000000
8.3000000000,52.7994499206,0.1976655721,52.7960853577,-0.1913445294,-0.0017898901,-0.0031824307,0.0000000000
8.3500000000,52.7363624575,0.2250763775,52.7460670471,-0.1933239549,0.0025778180,0.0053672753,0.0000000000
8.4000000000,52.7034225463,0.2194094061,52.6960449219,-0.1949885339,-0.0019984895,-0.0031051636,0.0000000000
8.4500000000,52.6338386537,0.2199091614,52.6460266113,-0.1966688782,0.0024416600,0.0050164135,0.0000000000
8.5000000000,52.6076774597,0.2320247739,52.5960044861,-0.1993164718,-0.0023336259,-0.0028357254,0.0000000000
8.5500000000,52.5433158875,0.1756762119,52.5459861755,-0.2017473876,0.0017188449,0.0049727731,0.0000000000
8.6000000000,52.5008201599,0.2038602829,52.4959640503,-0.2038526833,-0.0022031839,-0.0028673778,0.0000000000
8.6500000000,52.4397583007,0.2114876659,52.4459457397,-0.2052321732,0.0024244168,0.0048827729,0.0000000000
8.7000000000,52.3960914612,0.2026627659,52.3959236145,-0.2061424702,-0.0018790371,-0.0028787251,0.0000000000
8.7500000000,52.3470382688,0.2241436686,52.3459053039,-0.2074637711,0.0016878892,0.0046306969,0.0000000000
8.8000000000,52.2938766480,0.2040903121,52.2958831787,-0.2088017464,-0.0018451300,-0.0031454610,0.0000000000
8.8500000000,52.2495880125,0.3028851741,52.2458648681,-0.2099360526,0.0022880970,0.0054418142,0.0000000000
8.9000000000,52.1822547913,0.1912199409,52.1958427429,-0.2113772929,-0.0020699673,-0.0030956804,0.0000000000
8.9500000000,52.1498947142,0.1917908933,52.1458244324,-0.2133035213,0.0021006195,0.0050566168,0.0000000000
9.0000000000,52.0942115784,0.1905020475,52.0958023071,-0.2144003510,-0.0017836513,-0.0028200336,0.0000000000
9.0500000000,52.0579338073,0.1725492776,52.0457839966,-0.2158427090,0.0023140926,0.0047999620,0.0000000000
9.1000000000,51.9891777038,0.1991699039,51.9957618713,-0.2168211639,-0.0019967745,-0.0026241203,0.0000000000
9.1500000000,51.9460754395,0.2121370136,51.9457435608,-0.2184736133,0.0020342092,0.0049540740,0.0000000000
9.2000000000,51.8946571348,0.1765977441,51.8957214355,-0.2198096961,-0.0017201138,-0.0023053985,0.0000000000
9.2500000000,51.8424415590,0.1678917709,51.8457031250,-0.2210292220,0.0020753366,0.0049370322,0.0000000000
9.3000000000,51.8018112182,0.1608757973,51.7956809998,-0.2227584571,-0.0019453663,-0.0026591613,0.0000000000
9.3500000000,51.7388954164,0.1597261727,51.7456626892,-0.2246678025,0.0018552008,0.0048670540,0.0000000000
9.4000000000,51.7074089049,0.2279299649,51.6956405640,-0.2258466035,-0.0017123126,-0.0022446527,0.0000000000
9.4500000000,51.6401252748,0.1648248880,51.6456222534,-0.2269541025,0.0018339612,0.0050173015,0.0000000000
9.5000000000,51.6023979187,0.1475735605,51.5956001282,-0.2285458893,-0.0016785668,-0.0028095779,0.0000000000
9.5500000000,51.5468025206,0.1567288338,51.5455818176,-0.2297942787,0.0024226704,0.0046089939,0.0000000000
9.6000000000,51.4960594178,0.1682313979,51.4955596924,-0.2310097069,-0.0019545509,-0.0022834346,0.0000000000
9.6500000000,51.4424057005,0.1395797285,51.4455413818,-0.2321856767,0.0021706279,0.0048255226,0.0000000000
9.7000000000,51.3933181763,0.1482660025,51.3955192566,-0.2340244502,-0.0015670711,-0.0026191180,0.0000000000
9.7500000000,51.3488807677,0.1548100859,51.3455009460,-0.2353629619,0.0021600539,0.0046369866,0.0000000000
9.8000000000,51.2866554261,0.1214144156,51.2954788208,-0.2369959950,-0.0017428388,-0.0026707810,0.0000000000
9.8500000000,51.2525520323,0.1485677662,51.2454605102,-0.2384122461,0.0020449948,0.0045894570,0.0000000000
