OUTPUT OF MATLAB Q4 SMALL STRAIN FEM IMPLEMENTATION 

          DISPLACEMENTS 
********************************* 
  Node      U1           U2 
  403  -2.01099e-02   2.76923e-01 
  404  -2.53670e-02   2.76374e-01 
  405  -3.06286e-02   2.75844e-01 
  406  -1.00833e-02   2.83375e-01 
  407  -2.06735e-02   2.82201e-01 
  408  -3.12799e-02   2.81102e-01 
  409  -1.05690e-02   2.88716e-01 
  410  -1.59059e-02   2.88110e-01 
  411  -2.12465e-02   2.87523e-01 
  412  -2.65912e-02   2.86955e-01 
  413  -3.19403e-02   2.86405e-01 
  414  -1.10645e-02   2.94100e-01 
  415  -2.18290e-02   2.92888e-01 
  416  -3.26100e-02   2.91751e-01 
  417  -1.15700e-02   2.99528e-01 
  418  -1.69937e-02   2.98903e-01 
  419  -2.24212e-02   2.98297e-01 
  420  -2.78528e-02   2.97709e-01 
  421  -3.32889e-02   2.97140e-01 
  422  -1.20854e-02   3.04999e-01 
  423  -2.30229e-02   3.03749e-01 
  424  -3.39770e-02   3.02573e-01 
  425  -1.26109e-02   3.10513e-01 
  426  -1.81207e-02   3.09869e-01 
  427  -2.36344e-02   3.09244e-01 
  428  -2.91522e-02   3.08637e-01 
  429  -3.46745e-02   3.08048e-01 
  430  -1.31464e-02   3.16070e-01 
  431  -2.42555e-02   3.14782e-01 
  432  -3.53814e-02   3.13567e-01 
  433  -1.36920e-02   3.21671e-01 
  434  -1.92873e-02   3.21007e-01 
  435  -2.48864e-02   3.20363e-01 
  436  -3.04898e-02   3.19736e-01 
  437  -3.60977e-02   3.19128e-01 
  438  -1.42477e-02   3.27313e-01 
  439  -2.55271e-02   3.25986e-01 
  440  -3.68234e-02   3.24731e-01 
  441  -1.48136e-02   3.32999e-01 
  442  -2.04937e-02   3.32316e-01 
  443  -2.61776e-02   3.31652e-01 
  444  -3.18658e-02   3.31006e-01 
  445  -3.75586e-02   3.30377e-01 
  446  -1.53897e-02   3.38726e-01 
  447  -2.68380e-02   3.37360e-01 
  448  -3.83033e-02   3.36065e-01 
  449  -1.59760e-02   3.44496e-01 
  450  -2.17402e-02   3.43794e-01 
  451  -2.75083e-02   3.43110e-01 
  452  -3.32806e-02   3.42444e-01 
  453  -3.90576e-02   3.41795e-01 
  454  -1.65727e-02   3.50308e-01 
  455  -2.81885e-02   3.48902e-01 
  456  -3.98215e-02   3.47567e-01 
  457  -1.71796e-02   3.56161e-01 
  458  -2.30272e-02   3.55439e-01 
  459  -2.88787e-02   3.54735e-01 
  460  -3.47345e-02   3.54049e-01 
  461  -4.05950e-02   3.53381e-01 
  462  -1.77969e-02   3.62056e-01 
  463  -2.95789e-02   3.60611e-01 
  464  -4.13782e-02   3.59236e-01 
  465  -1.84246e-02   3.67993e-01 
  466  -2.43549e-02   3.67251e-01 
  467  -3.02892e-02   3.66527e-01 
  468  -3.62278e-02   3.65821e-01 
  469  -4.21711e-02   3.65132e-01 
  470  -1.90627e-02   3.73971e-01 
  471  -3.10095e-02   3.72485e-01 
  472  -4.29737e-02   3.71070e-01 
  473  -1.97112e-02   3.79990e-01 
  474  -2.57236e-02   3.79228e-01 
  475  -3.17400e-02   3.78484e-01 
  476  -3.77607e-02   3.77757e-01 
  477  -4.37861e-02   3.77048e-01 
  478  -2.03703e-02   3.86050e-01 
  479  -3.24805e-02   3.84524e-01 
  480  -4.46083e-02   3.83068e-01 
  481  -2.10398e-02   3.92151e-01 
  482  -2.71335e-02   3.91369e-01 
  483  -3.32313e-02   3.90604e-01 
  484  -3.93334e-02   3.89857e-01 
  485  -4.54403e-02   3.89128e-01 
  486  -2.17198e-02   3.98292e-01 
  487  -3.39922e-02   3.96725e-01 
  488  -4.62821e-02   3.95228e-01 
  489  -2.24105e-02   4.04474e-01 
  490  -2.85849e-02   4.03671e-01 
  491  -3.47634e-02   4.02887e-01 
  492  -4.09463e-02   4.02119e-01 
  493  -4.71339e-02   4.01369e-01 
  494  -2.31117e-02   4.10695e-01 
  495  -3.55448e-02   4.09088e-01 
  496  -4.79956e-02   4.07550e-01 
  497  -2.38236e-02   4.16958e-01 
  498  -3.00780e-02   4.16135e-01 
  499  -3.63365e-02   4.15330e-01 
  500  -4.25995e-02   4.14542e-01 
  501  -4.88672e-02   4.13770e-01 
  502  -2.45461e-02   4.23259e-01 
  503  -3.71386e-02   4.21611e-01 
  504  -4.97488e-02   4.20031e-01 
  505  -2.52792e-02   4.29601e-01 
  506  -3.16130e-02   4.28758e-01 
  507  -3.79509e-02   4.27932e-01 
  508  -4.42932e-02   4.27123e-01 
  509  -5.06404e-02   4.26331e-01 
  510  -2.60231e-02   4.35982e-01 
  511  -3.87736e-02   4.34293e-01 
  512  -5.15420e-02   4.32671e-01 
  513  -2.67777e-02   4.42403e-01 
  514  -3.31902e-02   4.41540e-01 
  515  -3.96067e-02   4.40693e-01 
  516  -4.60278e-02   4.39863e-01 
  517  -5.24536e-02   4.39050e-01 
  518  -2.75430e-02   4.48863e-01 
  519  -4.04503e-02   4.47132e-01 
  520  -5.33754e-02   4.45468e-01 
  521  -2.83191e-02   4.55362e-01 
  522  -3.48096e-02   4.54478e-01 
  523  -4.13042e-02   4.53610e-01 
  524  -4.78033e-02   4.52760e-01 
  525  -5.43072e-02   4.51926e-01 
  526  -2.91060e-02   4.61900e-01 
  527  -4.21686e-02   4.60127e-01 
  528  -5.52491e-02   4.58422e-01 
  529  -2.99038e-02   4.68476e-01 
  530  -3.64716e-02   4.67571e-01 
  531  -4.30435e-02   4.66683e-01 
  532  -4.96199e-02   4.65811e-01 
  533  -5.62012e-02   4.64956e-01 
  534  -3.07123e-02   4.75091e-01 
  535  -4.39288e-02   4.73277e-01 
  536  -5.71634e-02   4.71529e-01 
  537  -3.15317e-02   4.81745e-01 
  538  -3.81761e-02   4.80819e-01 
  539  -4.48247e-02   4.79910e-01 
  540  -5.14778e-02   4.79017e-01 
  541  -5.81358e-02   4.78141e-01 
  542  -3.23619e-02   4.88436e-01 
  543  -4.57311e-02   4.86581e-01 
  544  -5.91184e-02   4.84790e-01 
  545  -3.32031e-02   4.95166e-01 
  546  -3.99235e-02   4.94220e-01 
  547  -4.66481e-02   4.93289e-01 
  548  -5.33772e-02   4.92375e-01 
  549  -6.01113e-02   4.91478e-01 
  550  -3.40552e-02   5.01934e-01 
  551  -4.75757e-02   5.00036e-01 
  552  -6.11143e-02   4.98203e-01 
  553  -3.49181e-02   5.08739e-01 
  554  -4.17139e-02   5.07772e-01 
  555  -4.85138e-02   5.06820e-01 
  556  -5.53183e-02   5.05885e-01 
  557  -6.21277e-02   5.04966e-01 
  558  -3.57920e-02   5.15582e-01 
  559  -4.94625e-02   5.13642e-01 
  560  -6.31512e-02   5.11766e-01 
  561  -3.66769e-02   5.22462e-01 
  562  -4.35473e-02   5.21474e-01 
  563  -5.04219e-02   5.20501e-01 
  564  -5.73010e-02   5.19544e-01 
  565  -6.41851e-02   5.18604e-01 
  566  -3.75727e-02   5.29379e-01 
  567  -5.13919e-02   5.27397e-01 
  568  -6.52293e-02   5.25479e-01 
  569  -3.84796e-02   5.36334e-01 
  570  -4.54239e-02   5.35324e-01 
  571  -5.23725e-02   5.34331e-01 
  572  -5.93257e-02   5.33353e-01 
  573  -6.62838e-02   5.32390e-01 
  574  -3.93974e-02   5.43325e-01 
  575  -5.33638e-02   5.41301e-01 
  576  -6.73486e-02   5.39339e-01 
  577  -4.03262e-02   5.50353e-01 
  578  -4.73439e-02   5.49322e-01 
  579  -5.43658e-02   5.48307e-01 
  580  -6.13923e-02   5.47308e-01 
  581  -6.84238e-02   5.46324e-01 
  582  -4.12660e-02   5.57418e-01 
  583  -5.53785e-02   5.55351e-01 
  584  -6.95093e-02   5.53346e-01 
  585  -4.22169e-02   5.64518e-01 
  586  -4.93072e-02   5.63467e-01 
  587  -5.64018e-02   5.62430e-01 
  588  -6.35010e-02   5.61409e-01 
  589  -7.06052e-02   5.60404e-01 
  590  -4.31788e-02   5.71655e-01 
  591  -5.74359e-02   5.69546e-01 
  592  -7.17114e-02   5.67498e-01 
  593  -4.41517e-02   5.78829e-01 
  594  -5.13141e-02   5.77755e-01 
  595  -5.84807e-02   5.76698e-01 
  596  -6.56519e-02   5.75655e-01 
  597  -7.28281e-02   5.74628e-01 
  598  -4.51357e-02   5.86037e-01 
  599  -5.95362e-02   5.83885e-01 
  600  -7.39551e-02   5.81794e-01 
  601  -4.61308e-02   5.93282e-01 
  602  -5.33645e-02   5.92188e-01 
  603  -6.06025e-02   5.91109e-01 
  604  -6.78450e-02   5.90045e-01 
  605  -7.50926e-02   5.88996e-01 
  606  -4.71370e-02   6.00562e-01 
  607  -6.16795e-02   5.98367e-01 
  608  -7.62404e-02   5.96233e-01 
  609  -4.81542e-02   6.07878e-01 
  610  -5.54586e-02   6.06762e-01 
  611  -6.27672e-02   6.05662e-01 
  612  -7.00805e-02   6.04576e-01 
  613  -7.73987e-02   6.03506e-01 
  614  -4.91825e-02   6.15228e-01 
  615  -6.38658e-02   6.12991e-01 
  616  -7.85674e-02   6.10813e-01 
  617  -5.02219e-02   6.22614e-01 
  618  -5.75964e-02   6.21477e-01 
  619  -6.49750e-02   6.20355e-01 
